id,premise1,premise2,conclusion,type,new_type,type_amr_op,"Remarks (Ian)  "
2027,"as the friction increases, the resistance on the object to move will increase","as roughness of a surface increases , friction will increase","as the roughness of a surface increases, the resistance on the object to move will increase",inference_from_rule,,,
2028,different minerals usually have different properties and samples of a single type of mineral usually have the same properties,the properties of something can be used to identify / used to describe that something,the properties of a mineral can be used to identify those minerals,substitution,,,
2029,soil is permeable,"if something is permeable , then the water will flow through something easily",water will flow through soil easily,inference_from_rule,,,
2030,the greenhouse effect is when carbon in the air heats a planet 's atmosphere,heat means increase in temperature,carbon in the air causes the temperature of the planet's atmosphere to increase,substitution,verb_substitution,,
2031,sedimentary rocks can contain fossils and metamorphic rocks do not contain fossils,sedimentary rock can be changed into metamorphic rock,"if a sedimentary rock with fossils is changed into metamorphic rock , then the fossils will likely be destroyed",init,if_then,,
2032,an example of breaking something down is scratching something,a material that is soft can be broken down by a material that is hard,a material that is soft can be scratched by a material that is hard,substitution,verb_substitution,,
2033,fruit salad is a kind of mixture,fruit salad is made of solids,fruit salad is a mixture of solids,further_specification_or_conjunction,further_specification,,
2034,"when snow falls in an environment in an environment , that environment will become white",snow falls during the winter in the arctic environment,an arctic environment becomes white in the winter,inference_from_rule,,,
2035,an arctic fox's fur is white in the winter,an arctic fox's fur is dark gray or brown in the summer,an arctic fox's fur is dark grey or brown in the summer and white in the winter,further_specification_or_conjunction,conjunction,,
2036,solid is a kind of state of matter,gold is a kind of solid,gold is in solid state,init,further_inference,,
2037,global warming is when temperatures across the entire earth increase,temperature increase is a kind of impact,global warming impacts the entire earth,substitution,verb_substitution,,
2038,sneezing is used for getting rid of bacteria / viruses by the body,the immune system gets rid of bacteria / viruses once they have invaded the body,sneezing is used by the immune system to get rid of bacteria and viruses in the body,further_specification_or_conjunction,further_specification,,
2039,an engineer constructs a prototype from wood,a prototype is a kind of object,the wooden prototype is a kind of object,further_specification_or_conjunction,further_specification,,
2040,mercury is a planet orbits the sun in the solar system,a complete revolution / orbit of a planet around its star takes 1 / one planetary year,a complete orbit of mercury around the sun takes one mercury year,substitution,,,
2041,if an animal is trained to do something then that something is a learned behavior,some dogs are trained to scratch at the door when they want to go outside,a dog scratching at a door to go out is a learned behavior,inference_from_rule,,,
2042,if seeds stick to the fur of an animal then that seed will be transported by the animal,seed dispersal is when the seeds of a plant are carried from the parent plant to another area / new environment,an example of seed dispersal is seeds sticking to the fur of an animal,inference_from_rule,example,,
2043,the immune system attacks bacteria once they have invaded the body,bacteria is a kind of pathogen sometimes,the immune system attacks pathogens in the body,substitution,,,
2044,sensing sounds can be used for hunting prey,an echo is a kind of sound,sensing echos can be used for hunting prey,substitution,arg_substitution,,
2045,a shark is a kind of aquatic animal,if fossils of an aquatic animal or plant are found in a place then that place used to be covered by water in the past,if fossils of sharks are found in a place then that place used to be covered by water in the past,substitution,,,
2046,matter is made of atoms,atom is a kind of particle,matter is made of particles called atoms,further_specification_or_conjunction,further_specification,,
2047,appearance is a kind of physical property,appearance is a kind of physical property,appearance is a physical property of objects,init,further_inference,,
2048,air is a kind of gas,if gas is heated then that gas will expand / rise,if air is heated then air will expand and rise,substitution,arg_substitution,,
2049,nails in contact with water and oxygen will rust,rust forming is a kind of chemical change,nails rusting is a kind of chemical change,further_specification_or_conjunction,further_specification,,
2050,classifying is when one sorts something by class,class is a measure of how a rock is formed,rocks can be classified based on how they were formed,init,substitution,,
2051,a fly is a kind of insect,an insect has six legs,a fly has six legs,substitution,arg_substitution,,
2052,nearly all fossils are found in sedimentary rock,"if something is found in something else, then that something else contains that something",sedimentary rocks contain nearly all fossils,inference_from_rule,,,
2053,pot is made of metal for cooking,metal is a thermal / thermal energy conductor,pot is a kind of thermal conductor,init,substitution,,
2054,"in the formation of sedimentary rock, sediment formed by erosion is deposited","in the formation of sedimentary rock , burying the sediments follows depositing the sediments","in the formation of sedimentary rock, sediment is deposited then buried",init,,,
2055,copper is a kind of metal,metal is an electrical / electrical energy conductor,copper is an electrical conductor,substitution,arg_substitution,,
2056,sediment is formed by erosion,"in the formation of sedimentary rock , erosion is the first stage","in the formation of sedimentary rock, erosion forms sediment",init,substitution,,
2057,irrigation causes the amount of water in a body of water to decrease,a lake is a kind of body of water,irrigation can cause the amount of water in a lake to decrease,substitution,arg_substitution,,
2058,iron sulfide can be formed by heating a mixture of powdered iron and sulfur,iron sulfide is made of iron and sulfur,iron sulfide is made of a mixture of iron and sulfur being heated,further_specification_or_conjunction,further_specification,,
2059,neutralization is when an acid reacts with a base,neutralization produces water and salt,neutralization is when an acid reacts with a base and produces water and salt,further_specification_or_conjunction,conjunction,,
2060,a glass in a glass prism is a kind of material,air is a kind of material,air and glass in a glass prism are kinds of materials,further_specification_or_conjunction,conjunction,,
2061,runoff from a cropland entering a lake has a negative impact on water quality in that lake,water is a kind of natural resource,runoff from a cropland entering a lake has a negative impact on a natural resource by having a negative impact on water quality,further_specification_or_conjunction,further_specification,,
2062,using paper requires cutting down trees,if something requires something else then increasing that something requires an increase in that something else,an increased use of paper requires an increase in the number of trees cut down,inference_from_rule,,,
2063,burning a forest can produce great amounts of heat,wildfire is when a forest catches fire,a wildfire produces great amounts of heat,substitution,,,
2064,an example of an organism taking in nutrients is a girl eating food,an apple is a kind of food,an example of an organism taking in nutrients is a girl eating an apple,substitution,arg_substitution,,
2065,"photosynthesis produces energy by converting carbon dioxide, water, and sunlight into carbohydrates",if photosynthesis produces a thing by converting something into something else then that photosynthesis produces that thing from that something,photosynthesis produces energy from sunlight,inference_from_rule,,,
2066,a relationship exists between simple machines and energy,a physicist studies energy,a physicist studies energy and its relationship to simple machines,further_specification_or_conjunction,conjunction,,
2067,leaves usually have a large surface area,objects with a large surface area are ideal for absorbing sunlight,leaves are ideal for absorbing sunlight,substitution,,,
2068,florida is a state located in the united states of america,united states is located in the northern hemisphere,florida is located in the northern hemisphere,substitution,,,
2069,"as mileage per gallon of gasoline increases, the length of time that gasoline is available will increase",oil is a source of gasoline,"as mileage per gallon of oil increases, the amount of time that oil is available will increase",substitution,,,
2070,the air vibrations inside the whistle are a source of sound,sound waves spread in all directions away from their source,the air vibration inside the whistle causes the sound waves to spread in all directions,init,,,
2071,the nucleus of an atom is positive in charge,the nucleus is the core of an atom,an atom has a positve charged core,init,further_specification_or_conjunction,,
2072,a volcanic eruption can cause acid rain and decrease the temperature,europe was unusally cold and had acid rain in 1783,a volcanic eruption may have happened to cause the cold weather and acid rain in europe,further_specification_or_conjunction,further_specification,,
2073,astronomers study celestial objects,a telescope is used for observing celestial objects by astronomers,astronomers use telescopes to observe celestial objects,further_specification_or_conjunction,further_specification,,
2074,"when the body is hot , sweat is used to cool the body",panting is when an animal 's body is cooled by hanging out their tongue,panting and sweating are used to cool the body,further_specification_or_conjunction,conjunction,,
2075,photosynthesis means green plants convert carbon dioxide and water and sunlight energy into carbohydrates and food and oxygen for themselves,carbohydrates are a kind of compound that store chemical energy,photosynthesis converts sunlight energy into a compound that stores chemical energy,init,substitution,,
2076,decomposition is when a decomposer returns nutrients from dead organisms to the food chain,a decomposer is a kind of organism,a decomposer is a kind of organism that returns nutrients from dead organisms to the food chain,further_specification_or_conjunction,further_specification,,
2077,an environment is a kind of area,the tundra is a kind of environment,a tundra is a kind of area,substitution,arg_substitution,,
2078,biologists use micropscopes to see small things,a microscope is a kind of optical tools for observing small things,biologists use optical tools to observe small things,substitution,,,
2079,photosynthesis makes food for the plant,a leaf performs photosynthesis / gas exchange,a leaf makes food for the plant by performing photosynthesis,further_specification_or_conjunction,further_specification,,
2080,the water cycle is a kind of natural process,a natural process is performed by nature,the water cycle is performed by nature,substitution,arg_substitution,,
2081,some horned lizards live in a desert environment,a horned lizard is a living part of an environment,a horned lizard is a living part of a desert environment,substitution,,,
2082,runoff entering a lake has a positive impact on algae growth in that lake,if something has a positive impact on something else then that something causes that something else,runoff entering a lake causes algae to grow in that lake,inference_from_rule,,,
2083,rhinoceroses and horses are kinds of organisms that have similar characteristics,if two or more organisms have similar characteristics then those organisms might share a common ancestor,the characteristics of rhinoceroses and horses indicate that they might share a common ancestor,inference_from_rule,,,
2084,the nucleus of an atom is usually made of both protons and neutrons,the nucleus is the core of an atom,the core of an atom is made of protons and neutrons,substitution,,,
2085,producers provide energy for consumers,energy is important to consumers,producers are important to consumers because they provide energy to consumers,further_specification_or_conjunction,further_specification,,
2086,the respiratory system brings oxygen from the air to the circulatory system,the circulatory system brings oxygen from the lungs to the rest of the body,the respiratory system and the circulatory system both work to bring oxygen from the air to the rest of the body,further_specification_or_conjunction,conjunction,,
2087,the air mass over the ocean is warm,the air mass formed close to the ocean is humid in moisture,the air mass over the ocean is warm and humid,further_specification_or_conjunction,conjunction,,
2088,photosynthesis uses carbon dioxide from the air to make food for a plant,carbon dioxide contains carbon,photosynthesis uses carbon from the air to make food for a plant,substitution,,,
2089,"if thymine is found in a strand of nucleic acid, then the nucleic acid is dna",a researcher found thymine in a strand of nucleic acid,the researcher found a strand of dna,inference_from_rule,,,
2090,different species of organisms have different genes determining the size,tigers and household cats are different species,genetic difference in tigers and cats determines the difference in size,further_specification_or_conjunction,further_specification,,
2091,a ruler can be used to measure the length of a butterfly,a metric ruler is a ruler with metric units,a metric ruler can be used to measure the length of a butterfly,substitution,,,
2092,the changes in temperature over a period of 24 hours need to be shown in a graph,hours hr are a metric unit used for measuring time generally used for values between 025 and 72,the changes in temperature over a period of time need to be shown in a graph,substitution,,,
2093,sediment is formed by rocks weathering,weathering is a kind of erosion,sediment is formed by erosion,substitution,,,
2094,clearing a forest causes the number of trees to greatly decrease in that forest,deforestation is when the number of trees / organisms in a forest decreases,clearing a forest causes deforestation to increase,init,substitution,,
2095,a plant uses the raw material sunlight for photosynthesis,using a raw material sometimes requires absorbing that raw material,a plant absorbs sunlight to perform photosynthesis,substitution,verb_substitution,,
2096,taking something in is a kind of method for obtaining that something,if something is required in a process then obtaining that something is a step in that process,if something is required in a process then taking that something in is a step in that process,substitution,verb_substitution,,
2097,water vapor condensing in clouds causes rain,rain is a kind of precipitation,water vapor has to condense in clouds before clouds producing precipitation,further_specification_or_conjunction,further_specification,,
2098,an atom is a kind of object,losing / gaining electrons causes the electrical charge of an object to be unbalanced,losing or gaining electrons causes the electrical charge of an atom to be unbalanced,substitution,arg_substitution,,
2099,a plant stem is the vehicle for transporting water and food from roots to the rest of the plant,if something is a vehicle for a process then that something performs that process,a plant stem transports water and food from the roots to the rest of the plant,inference_from_rule,,,
2100,a storm is a source of precipitation,a thunderstorm is a kind of storm,a thunderstorm is a source of precipitation,substitution,arg_substitution,,
2101,decomposers return nutrients to the soil by breaking down dead organsisms,nutrients in soil are important to the food chain,decomposers are important to the food chain by returning nutrients to the soil by breaking down dead organisms,further_specification_or_conjunction,further_specification,,
2102,a hummingbird is a kind of bird,a bird is a pollinating animal,a hummingbird is a kind of pollinating animal,substitution,arg_substitution,,
2103,a drought occurs over a period of months / years,drought is when available water decreases in an environment,drought is when available water decreases in an environment over a period of months / years,further_specification_or_conjunction,further_specification,,
2104,natural selection occurs over a period of 1 to many generations,to a human a time period of 1 generation to many generations is considered very long,natural selection occurs over a period of 1 to many generations which is considered a very long time to a human,further_specification_or_conjunction,further_specification,,
2105,nulcear fusion is a process that fuses two nuclei into one and releases large amount of energy,a process combines two nuclei into one and releases a large amount of energy,the process is nulcear fusion,infer_class_from_properties,,,
2106,the lungs are a part of the respiratory system,the lungs are a part of the body of an animal used for breathing air,the respiratory system is used for breathing,substitution,,,
2107,a star produces light and heat,a source of something emits / produces / generates / provides that something,a star is a source of light,substitution,verb_substitution,,
2108,decomposers obtain nutrients by eating waste,eating is a kind of method for consuming,decomposers obtain nutrients by consuming waste,substitution,verb_substitution,,
2109,sweat is used for adjusting to hot temperatures by some animals,heat means temperature increases,"when the body is hot , sweat is produced to cool the body",init,,,
2110,if something is formed by being exposed to heat and pressure then that something will likely be formed in an area with heat and pressure,metamorphic rocks are formed by being exposed to great heat and pressure,metamorphic rock will likely be formed in an area with great heat and pressure,inference_from_rule,,,
2111,a complete rotation of the moon takes 1 / one month,rotation is the circular movement of an object around a center / axis,a complete rotation of the moon around its axis takes one month,further_specification_or_conjunction,further_specification,,
2112,a rock is composed of the minerals it contains,the composition of something can be used to identify that something,a rock can be identified by the minerals it contains,substitution,verb_substitution,,
2113,animals are a source of carbon dioxide by breathing,a source of something produces that something,animals produce carbon dioxide by breathing,substitution,verb_substitution,,
2114,an inclined plane increases the distance over which an object travels,an inclined plane decreases the force required to move an object to a different altitude,an inclined plane increases the distance the object travels and decrease the force needed to move the object,further_specification_or_conjunction,conjunction,,
2115,if something is a stage in a process then that something is required for that process,"the formation of metamorphic rock is a sequential process, with stages of rock being compacted, heated, recrystallized",recrystallization is required for the process of the formation of metamorphic rock,inference_from_rule,,,
2116,sugar is made of three different elements chemically combined,a compound is made of two or more elements chemically combined,sugar is a kind of compound,infer_class_from_properties,,,
2117,the earth revolving around the sun is an example of a planet revolving around its star,a complete revolution / orbit of a planet around its star takes 1 / one planetary year,a complete revolution of the earth around the sun will take one earth year,substitution,,,
2118,a body can be a part of a robot,a computer controls a robot,a computer can control the body of a robot,substitution,,,
2119,running is a kind of movement,an animal requires energy to move,an animal requires energy to run,substitution,verb_substitution,,
2120,animals must breath to survive,breathing is when animals convert oxygen into carbon dioxide,an animal requires oxygen for survival / to breathe,init,further_specification_or_conjunction,,
2121,a soda can is made of a nonrenewable resource that is recyclable,recycling nonrenewable resources has a positive impact on the conservation of those resources,recycling soda cans has a positive impact on the conservation of nonrenewable resources,substitution,,,
2122,the heart pumping blood transports oxygen to the rest of the body,if something is transported to something else then that something else receives that something,the heart pumping blood causes the rest of the body to recive oxygen,inference_from_rule,,,
2123,the sun is a source of light / light energy called sunlight,"as a source of light moves directly overhead of an object , the size of the shadow of that object will decrease","when the sun moves directly overhead of an object, the size of the shadow of that object will be the smallest",substitution,,,
2124,weathering is a kind of geologic process,deposition is a kind of natural process,weathering and deposition are kinds of processes,further_specification_or_conjunction,conjunction,,
2125,a thunderstorm is a kind of storm,a storm is a source of heavy rain,a thunderstorm is a source of heavy rain,substitution,arg_substitution,,
2126,electric devices require electrical energy to function,household appliances are a kind of electric device,household appliances require electrical energy to function,substitution,arg_substitution,,
2127,decreasing the available water in an environment has a negative impact on farming in that environment,drought is when available water decreases in an environment,droughts have a negative impact on farming,substitution,verb_substitution,,
2128,a mitochondrion is a kind of cellular organelle,mitochondrion provide energy to cells using oxygen and glucose,mitochondrion is the cellular organelle that uses oxygen and glucose to provide energy to cells,further_specification_or_conjunction,further_specification,,
2129,sugar can cause tea to taste sweet,taste can be used to distinguish food,"if the tea tastes sweet, then there is sugar in the tea",init,if_then,,
2130,the sun is a kind of star,the earth revolves around the sun,the earth revolves around a star,substitution,arg_substitution,,
2131,cut trees are needed to make paper,trees are a kind of resource,cut trees are a kind of resource that is needed to make paper,further_specification_or_conjunction,further_specification,,
2132,the intestines are a part of an animal's digestive system for digesting food,if an organ digests food then the food must pass through that organ,"during digestion, food passes through the intestines",inference_from_rule,,,
2133,sugar dissolves in water is an example of one substance dissolving in another substance,a solution is formed by one substance being dissolved in another substance,sugar dissolving in water will form a solution,init,substitution,,
2134,coal is a kind of natural resource,coal is a nonrenewable resource,coal is a kind of nonrenewable natural resource,further_specification_or_conjunction,further_specification,,
2135,"in the rock cycle, new rocks are made from old rocks physically changing",if something is physically changed then the mass of that something will stay the same,"as the class of a rock changes , the mass of the rock will stay the same",inference_from_rule,,,
2136,if two things have different features then those two things are different,if things can be identified as different because of something then they are distinguishable by that something,things are distinguishable by their features,inference_from_rule,,,
2137,the wax from the candle melted,melting is when solids are heated above their melting point,the melting wax has been heated above its melting point,further_specification_or_conjunction,further_specification,,
2138,a problem with using coal is that it has a negative impact on an ecosystem,damage has a negative impact on a thing,a problem with using coal is that it damages an ecosystem,substitution,verb_substitution,,
2139,"as the amount of carbon in the air increases, the temperature of the planet's atmosphere will increase",the atmosphere is made of air,"as the amount of carbon in the atmosphere increases, the temperature of the planet's atmosphere will increase",substitution,arg_substitution,,
2140,the wire's ends were connected to a simple circuit,wire was looped several times around an iron nail,the wire is looped several times around an iron nail and is connected to a circuit,further_specification_or_conjunction,conjunction,,
2141,rhinoceroses and horses have a similar bone structure,a rhinoceros and a horse are kinds of animals,rhinoceroses and horses are kinds of animals that have similar bone structures,further_specification_or_conjunction,further_specification,,
2142,sound waves transfer energy,x-rays transfer energy,both sound waves and x-rays transfer energy,further_specification_or_conjunction,conjunction,,
2143,plant cells have cell wall to support and protect the cell membrane,a pine tree is a kind of organism that is made of plant cells,a pine tree is the organism that is made of cells with cell wall,further_specification_or_conjunction,further_specification,,
2144,air is a matter that has variable shape,matter with variable volume and shape takes the shape and size of its entire container,air takes the shape of its container,substitution,,,
2145,touch can be used for detecting texture,texture is a property of objects and includes ordered values of smooth to rough,touch can be used to observe the texture of objects,init,,,
2146,years are a kind of unit for measuring time,how long something takes is a kind of measurement of time,how many years something takes is a kind of measurement of time,substitution,,,
2147,brook trout have bright orange bellies,having an orange belly is a kind of coloration,brook trout have a bright orange coloration on their bellies,further_specification_or_conjunction,further_specification,,
2148,living underground can be used for hiding from predators,hiding can be used for avoiding predators,living underground can be used for avoiding predators,substitution,,,
2149,nutrients in soil are important for an ecosystem,a decomposer breaks down dead organisms to return nutrients to soil,decomposers breaking down dead organisms to return nutrients to soil is important for an ecosystem,further_specification_or_conjunction,further_specification,,
2150,increasing the size of a plant's leaves have a positive impact on that plant's survival,fast growth causes the leaves of a plant to increase in size more quickly,fast leaf growth has a positive impact on a plant's survival,substitution,verb_substitution,,
2151,a bird is a kind of animal,an animal is a kind of organism,a bird is a kind of organism,substitution,arg_substitution,,
2152,erosion is when moving water transports sediments from one place to another place for a long distance,flowing water is a kind of moving water,flowing water can cause erosion,init,,,
2153,evaporating and condensing can both be caused by temperature changing,temperature is a measure of heat energy,evaporating and condensing can both be caused by the change of heat energy,substitution,,,
2154,"as water in an evironment decreases, the competition among consumers increases",drought is when available water decreases in an environment,a drought causes competition among consumers to increase,inference_from_rule,,,
2155,a kilogram is a kind of unit for measuring mass,kilogram is used to measure heavy objects,kilogram is used to measure the mass of heavy objects,further_specification_or_conjunction,further_specification,,
2156,the candle is undergoing a chemical reaction,chemical reactions cause new substances to form,a new substance is being formed in this process,init,,,
2157,pliers are a tool made of two levers for gripping,gripping produces gripping force,pliers are a tool that can produce gripping force,further_specification_or_conjunction,further_specification,,
2158,fish is a kind of scaled animal with scales covering around the body,scales are used for protection by scaled animals,scales are used for protection by fish,substitution,,,
2159,sugar and salt are solids,"if solids are combined physically , then the physical properties of the solids will stay the same","if sugar and salt are combined physically, then the physical properties of the sugar and salt will stay the same",substitution,,,
2160,matter in the liquid phase has definite volume,matter in the liquid phase has variable shape,matter in the liquid phase has a variable shape and definite volume,further_specification_or_conjunction,conjunction,,
2161,a car engine started and converted the chemical energy in gasoline into heat and sound energy,sound is a kind of mechanical energy,a car engine usually converts chemical energy into mechanical energy and heat energy,substitution,,,
2162,only protons and neutrons add mass to the atom,the nucleus of an atom is usually made of both protons and neutrons,most of the mass of an atom is located in the nucleus,init,,,
2163,a plant must absorb sunlight with its leaves to survive,"if a plant must do something to survive, then increasing that plant's ability to do that something has a positive impact on that plant's survival",increasing a plant's ability to absorb sunlight with its leaves has a positive impact on that plant's survival,inference_from_rule,,,
2164,ice cubes have to be made by freezing the liquid water,freezing is a kind of exothermic process,making ice cubes is a kind of exothermic process,substitution,,,
2165,the decrease of something required by an organism in water has a negative impact on that organism's survival,"as the temperature of water increases, the amount of dissolved oxygen in the water decreases",the increase of water tempreature has a negative impact on the survival of organisms in the water that require oxygen,substitution,verb_substitution,,
2166,refraction happens when light passes from one medium to another medium,light travels between two different materials (air and glass),light will refract when it travels between two different materials,further_specification_or_conjunction,further_specification,,
2167,increasing water in soil can deplete the nutrients in soil,increasing irrigation increases the amount of water being used on soil in agricultural grounds,increasing irrigation can deplete the nutrients in soil in agricultural grounds,substitution,,,
2168,"if an organism requires something to perform a process, then increasing that something increases that organism's ability to perform that process",an aquatic animal is a kind of organism,"if an aquatic animal requires something to perform a process, then increasing that something increases that aquatic animal's ability to perform that process",substitution,,,
2169,the offspring of two tay-sachs carriers will have 25% probability to be homozygous recessive in tay-sachs disease,a homozygous recessive organism contains only recessive genes,the offspring of two tay-sachs carriers will have 25% probability to contain only recessive genes for tay-sachs disease,substitution,,,
2170,crossing two living things with recessive traits causes their offspring to have that recessive trait,white flower is a recessive trait in snapdragon plant,crossing two snapdragon plants with white flower will cause the offspring to have white flowers,substitution,,,
2171,an example of camouflage is a hare changing into the color of its environment,an arctic hare and an arctic environment both change color to white in the winter,an example of camouflage is an arctic hare changing into the color of an arctic environment in the winter,further_specification_or_conjunction,further_specification,,
2172,sneezing is used by the immune system to get rid of bacteria and viruses in the body,if a process is used by something then that something causes that process,sneezing is caused by the immune system,inference_from_rule,,,
2173,decreasing the use of electricity causes a fossil fuel supply to last longer,to decrease something means to reduce something,reducing the use of electricity causes the fossil fuel supply to last longer,substitution,verb_substitution,,
2174,"when light wave hits a reflective object, the light wave is reflected",a mirror is a kind of reflective object,"when light wave hits a mirror, the light wave will be reflected",substitution,arg_substitution,,
2175,clouds are formed by water vapor rising into colder regions of the atmosphere and condensing,water vapor is a kind of gas,the condensation of water vapor causes cloud to form,init,,,
2176,radio station broadcasting emits radio waves,radio transmitter emits radio waves,radio station is a radio transmitter,infer_class_from_properties,,,
2177,a lung is a kind of organ for breathing air,in order to breath air you must take in air,a lung is a kind of organ for taking in air,substitution,verb_substitution,,
2178,a lack of something that a plant requires prevents the survival of that plant,plants require water for survival,a lack of water prevents the survival of plants,substitution,,,
2179,atoms with one or two valence electrons tend to lose those electrons,metal atoms usually have one or two valence electrons,metal atoms tend to lose electrons,substitution,,,
2180,sodium chloride is a compound,sodium and chlorine reacting forms sodium chloride,sodium and chlorine reacting forms a compound,substitution,arg_substitution,,
2181,a ball field is open / grassy,bluebirds live in open spaces / grassy spaces,bluebirds might live in a ball field,substitution,,,
2182,wings are usually a part of birds,a part of an animal is a characteristic of that animal,wings are usually a characteristic of birds,substitution,,,
2183,a plant / living thing requires nutrients to grow / survive,soil provides nutrients for plants,a plant requires nutrients from soil to grow and survive,further_specification_or_conjunction,further_specification,,
2184,global warming is when worldwide temperature increases,gases released during the use of fossil fuels causes global warming,gases released during the use of fossil fuels cause an increase in worldwide temperature,substitution,,,
2185,hearing is a kind of sense,hunting requires sensing prey,hearing can be used for hunting prey,init,,,
2186,metal is an electrical conductor,metals usually have higher conductivity than nonmetals,metal is the material that has a higher conductivity than other materials,init,further_inference,,
2187,fossil fuels are formed from dead organisms from a very long time ago,prehistoric means a very long time ago,fossil fuels are formed from dead prehistoric organisms,substitution,,,
2188,the offspring of a pecan tree can inherit the thickness of its parents' trunk,the parent pecan tree has a thick trunk,the offspring of the pecan tree can inherit the thick trunk from its parent,substitution,,,
2189,nest building has a positive impact on the survival of birds,birds build nests to protect young birds,nest building has a positive impact on the survival of birds by protecting young birds,further_specification_or_conjunction,further_specification,,
2190,a flower is a source of food for bees by producing pollen,a flower is a source of food for bees by producing nectar,a flower is a source of food for bees,init,one_premise_only,,
2191,recycling paper has a positive impact on an ecosystem by causing fewer trees to be cut,an impact is a kind of effect,a positive effect of recycling paper is that it causes fewer trees to be cut,substitution,,,
2192,if the atmospheric temperature rises then the glaciers will melt,the atmosphere is the air around the entire planet,if the temperature of the air around the entire planet rises then the glaciers will melt,substitution,,,
2193,if an animal lives a certain environment then that animal ususally requires that kind of environment,polar bears live in cold environments,a polar bear requires a cold environment,inference_from_rule,,,
2194,ground is a kind of object,a soccer ball is a kind of object,a soccer ball and ground are kinds of objects,further_specification_or_conjunction,conjunction,,
2195,"when a river floods , that river deposits soil in flood plains",soil and sediment deposited by a river are usually high / rich in nutrients,the soil deposited by a river in flood plains are rich in nutrients,init,,,
2196,a person with diabetes should be careful about eating or drinking something that is high in sugar,fruit juice is a kind of drink that is high in sugar,a person with diabetes should be careful about drinking fruit juice,substitution,,,
2197,the diameter of a dime is a measure of length through the center of the dime,a ruler is a kind of tool for measuring length,a ruler can be used to measure the diameter of a dime,substitution,,,
2198,color is a kind of property of carbon dioxide,carbon dioxide is colorless in color,being colorless is a property of carbon dioxide,substitution,,,
2199,reproduction only occurs during adulthood,an example of reproduction is laying eggs,laying eggs only occurs during adulthood,substitution,,,
2200,waste must be eliminated from the body,something must be eliminated from the parts of something else before it can be eliminated from the entirety something else,waste must be eliminated from the parts of the body before it can be eliminated from the entirety of the body,substitution,,,
2201,an example of camouflage is an arctic fox changing into the color of its environment,a arctic fox's fur and an arctic environment both become white in the winter,an example of camouflage is an arctic fox's fur becoming white in the winter in an arctic environment,further_specification_or_conjunction,further_specification,,
2202,if something is outside during the day then that something will receive sunlight,puddles of water are outside during the day,puddles of water will receive sunlight,inference_from_rule,,,
2203,decreasing something that is required for a process has a negative impact on that process,farming is a kind of process,decreasing something that is required for farming has a negative impact on farming,substitution,,,
2204,united states is located in the northern hemisphere,new york / new york state is a state located in the united states of america,new york state is located in the northern hemisphere,substitution,,,
2205,an electrical conductor is an element that is conductive,wiring requires an electrical conductor,wiring requires an element that is conductive,substitution,,,
2206,fire transfers heat through waves in the process of radiation,a campfire is a kind of fire,the campfire transfers heat through waves in the process of radiation,substitution,arg_substitution,,
2207,an animal requires warmth for survival in cold temperatures,temperatures become cold as the season changes to winter,an animal requires warmth for survival as the season changes to winter,substitution,,,
2208,an animal needs to let other animals know that it is a potential mate to reproduce,communication can be used to let other animals know things,communication can be used by animals to let other animals know that it is a potential mate,further_specification_or_conjunction,further_specification,,
2209,if the temperature of an animal's environment becomes too hot then that animal must cool itself,adapting is when a living thing responds to a change in an environment,an animal cooling itself is an adaptation to hot temperatures,inference_from_rule,,,
2210,if the environmental temperature is too cold then an animal in that environment may become cold,an animal requires warmth for survival,an animal requires warmth for survival in cold temperatures,inference_from_rule,,,
2211,the statue is made of a kind of marble,the table is made of the same kind of marble,the statue and the table are made the same kind of marble,further_specification_or_conjunction,conjunction,,
2212,mammal is a kind of taxonomic group of animals,fur is usually part of a mammal,animals in the taxonomic group mammal usually have fur,further_specification_or_conjunction,further_specification,,
2213,oil is a kind of pollutant,water pollution is when humans pollute the environment with pollutants,an example of water pollution is when humans pollute the environment with oil,init,example,,
2214,moving fast in water has a positive impact on an aquatic animal's survival,webbed feet are used for moving faster through water by aquatic animals,webbed feet have a positive impact on an aquatic animal's survival,substitution,verb_substitution,,
2215,a barometer is used to measure air pressure,air pressure is a property of  the atmosphere,a barameter is used to measure the air pressure of the atmosphere,further_specification_or_conjunction,further_specification,,
2216,moisture is a kind of environmental factor,warmth is a kind of environmental factor,warmth and moisture are kinds of environmental factors,further_specification_or_conjunction,conjunction,,
2217,a ball is a kind of object,rolling is a kind of motion,a ball rolling is an example of object in motion,init,example,,
2218,exercise has a positive impact on a human 's health,if something has a positive impact on health then that something can help to maintain good health,exercise can help a human maintain good health,inference_from_rule,,,
2219,in order to eat food an animal must find food,eating food is used to get nutrients / energy by  animals,animals must find food to get nutrients / energy,substitution,,,
2220,water contains dissolved oxygen,water is a part of an environment,water is a part of an environment that contains dissolved oxygen,further_specification_or_conjunction,further_specification,,
2221,a sea turtle is an animal that walks toward the ocean after it is born,an animal knows how to do instinctive behaviors when it is born,walking toward the ocean is sea turtles' instinctive behavior,init,,,
2222,the moon moving away from earth increases the distance between the moon and the earth,"as the distance from an object increases , the force of gravity on that object will decrease",the moon moving away from earth causes the force of gravity of moon on earth decreases,inference_from_rule,,,
2223,comparing the mass of different objects requires measuring the mass for each object,a balance can be used to measure the mass of objects,comparing the mass of different objects requires using a balance for each object,substitution,,,
